"N.Registro";"Tipo";"Categoría";"Especialidades";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Email";"web";"Q Calidad";"Central Reservas";"Plazas";"GPS.Longitud";"GPS.Latitud";"accesible a personas con discapacidad";
"24/000274";"Hotel";"1ª - 1 estrella";"";"RIO CEA";"Calle  MISTER UNIVERSO JUAN FERRERO 55";"24880";"León";"Valderrueda";"PUENTE ALMUHEY";"PUENTE ALMUHEY";"987703521";"639179386";"";"info@hotelriocea.com";"WWW.HOTELRIOCEA.COM";"";"";"24";"-4,971604";"42,786739";"";
"24/000276";"Pensión";"Categoría única";"";"PARDOMINO";"Avenida AVDA. ASTURIAS, 113";"24850";"León";"Boñar";"BOÑAR";"BOÑAR";"987741581";"";"";"";"";"";"";"40";"-5,320909";"42,87385";"";
"24/000277";"Hostal";"2ª - 2 Estrellas";"";"VENTASIERRA";"Carretera CISTIERNA RIAÑO";"24970";"León";"Crémenes";"VALDORE";"VALDORE";"987711029";"";"";"";"";"";"";"30";"-5,159879";"42,875826";"";
"24/000279";"Hostal Residencia";"1ª - 1 Estrella";"";"TIO PEPE";"Calle BARRIO PUENTE NUEVO, S/N";"24300";"León";"Bembibre";"BEMBIBRE";"BEMBIBRE";"987511424";"";"";"";"";"";"";"32";"-6,395855";"42,605895";"";
"24/000281";"Hostal Residencia";"1ª - 1 Estrella";"";"MARGA II";"Calle SANTA LUCIA, 2";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987472111";"";"";"";"";"";"";"19";"-6,328071";"42,941553";"";
"24/000282";"Hotel";"2ª - 2 Estrellas";"";"LA BRAÑINA";"Calle LA BRAÑINA, 20";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987480361";"";"";"";"www.lesein.es/labranina";"";"";"69";"-6,314439";"42,939071";"Si";
"24/000283";"Hostal";"2ª - 2 Estrellas";"";"CASA MENDEZ";"Calle ESPIRITU SANTO, 1";"24500";"León";"Villafranca del Bierzo";"VILLAFRANCA DEL BIERZO";"VILLAFRANCA DEL BIERZO";"987542408";"";"";"";"";"";"";"21";"-6,813554";"42,609812";"";
"24/000284";"Hotel Residencia";"2ª - 2 Estrellas";"";"MONTERREY";"Carretera N-VI, KM. 333 . (Ver Observaciones).";"24714";"León";"Brazuelo";"PRADORREY";"PRADORREY";"987606611";"987606587";"";"";"";"";"";"40";"-6,120513";"42,506426";"Si";
"24/000285";"Pensión";"Categoría única";"";"CASA EL PEREIRO";"Calle FONTANON 12";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987470090";"";"";"";"";"";"";"8";"-6,313968";"42,937893";"";
"24/000286";"Hotel";"4ª - 4 Estrellas";"";"ALFONSO V";"Avenida PADRE ISLA 1";"24002";"León";"León";"LEON";"LEON";"987211833";"";"";"leoncondeluna.dir@barcelo.com";"";"";"";"118";"";"";"";
"24/000288";"Hotel Residencia";"2ª - 2 Estrellas";"";"AVENIDA III";"Carretera CTRA. LEON-ASTORGA, KM. 17";"24392";"León";"Villadangos del Páramo";"VILLADANGOS DEL PARAMO";"VILLADANGOS DEL PARAMO";"987390311";"";"";"";"www.hotelavenidaiii.com";"";"";"76";"-5,750466";"42,528726";"Si";
"24/000289";"Hostal Residencia";"2ª - 2 Estrellas";"";"EL CRUCE";"Avenida CONSTITUCION, 43";"24800";"León";"Cistierna";"CISTIERNA";"CISTIERNA";"987700041";"";"";"";"";"";"";"53";"-5,125671";"42,800451";"";
"24/000290";"Pensión";"Categoría única";"";"MIRADOR DE LA CRUZ (CERRADO TEMPORALMENTE)";"CRUZ, 20 (TROBAJO)";"24010";"León";"León";"LEON";"LEON";"987802439";"";"";"";"";"";"";"11";"-5,60686";"42,595533";"";
"24/000291";"Pensión";"Categoría única";"";"CHAMU";"Calle ESPOLON ABAJO 6";"24252";"León";"Bercianos del Páramo";"BERCIANOS DEL PARAMO";"BERCIANOS DEL PARAMO";"987957012";"";"";"INFO@HOSTALCHAMU.ES";"HTTPS://HOSTALCHAMU.ES/";"";"";"14";"-5,73";"42,39";"";
"24/000293";"Pensión";"Categoría única";"";"BAHIA  (CIERRE TEMPORAL)";"LA BAÑEZA, 18";"24350";"León";"Villarejo de Órbigo";"VEGUELLINA DE ORBIGO";"";"987376264";"";"";"";"";"";"";"12";"";"";"";
"24/000296";"Hotel";"3ª - 3 Estrellas";"";"NOVO";"Carretera CTRA NAL VI, KM. 386";"24400";"León";"Ponferrada";"PONFERRADA";"PONFERRADA";"987610630";"";"";"recepcion@hotelnovo.info";"";"";"";"91";"";"";"Si";
"24/000299";"Hostal Residencia";"2ª - 2 Estrellas";"";"EC";"SAN JUAN BOSCO, 3";"24009";"León";"León";"LEON";"LEON";"987210519";"";"";"";"";"";"";"28";"-5,584589";"42,581934";"";
"24/000300";"Hostal Residencia";"2ª - 2 Estrellas";"";"LA TORRE II";"Calle CHAO DO MARCO S/N";"24380";"León";"Puente de Domingo Flórez";"PUENTE DE DOMINGO FLOREZ";"PUENTE DE DOMINGO FLOREZ";"987460589";"987460081";"";"info@hrlatorre.com";"www.hrlatorre.com";"";"";"34";"-6,82477";"42,418133";"";
"24/000302";"Pensión";"Categoría única";"";"SANTA LUCIA";"Carretera CTRA CABOALLES KM 31";"24123";"León";"Carrocera";"OTERO DE LAS DUEÑAS";"OTERO DE LAS DUEÑAS";"987581437";"";"";"";"";"";"";"5";"-5,783868";"42,784472";"";
"24/000303";"Pensión";"Categoría única";"";"CRESCENTE";"Avenida BOCA DE HUERGANO";"24911";"León";"Boca de Huérgano";"BOCA DE HUERGANO";"BOCA DE HUERGANO";"987740134";"";"";"";"";"";"";"10";"-4,925094";"42,97379";"";
"24/000304";"Hostal Residencia";"2ª - 2 Estrellas";"";"SANTA MARIA";"Calle SANTA MARIA, 20-A";"24540";"León";"Cacabelos";"CACABELOS";"CACABELOS";"660906620";"";"";"santamariasl@hotmail.com";"https://www.hostal.moncloadesanlazaro.com/";"";"";"32";"";"";"";
"24/000306";"Hotel";"4ª - 4 Estrellas";"";"CORTES DE LEON (CERRADO TEMPORALMENTE)";"Carretera CTRA.  GIJON-SEVILLA, KM. 141";"24008";"León";"Villaquilambre";"VILLAQUILAMBRE";"VILLAQUILAMBRE";"987272422";"";"";"reservas@hotelcortesdeleon.com";"www.hotelcortesdeleon.com";"";"";"212";"-5,587322";"42,629697";"Si";
"24/000307";"Hostal Residencia";"2ª - 2 Estrellas";"";"EL PALACIO";"Calle C/ EL PALACIO S/N";"24413";"León";"Molinaseca";"MOLINASECA";"MOLINASECA";"987453094";"";"";"info@casaelpalacio.com";"www.casaelpalacio.com";"";"";"27";"-6,519128";"42,537692";"";
"24/000309";"Hostal";"1ª - 1 Estrella";"";"SAN MARTIN";"Avenida PICOS DE EUROPA 32";"24210";"León";"Mansilla de las Mulas";"MANSILLA DE LAS MULAS";"MANSILLA DE LAS MULAS";"678446176";"";"";"";"";"";"";"19";"-5,569956";"42,599481";"";
"24/000310";"Hostal";"1ª - 1 Estrella";"";"EL PEREGRINO";"Calle C/FRAY PEDRO DEL BURGO, 36";"24343";"León";"Burgo Ranero (El)";"BURGO RANERO (EL)";"BURGO RANERO (EL)";"987330069";"";"";"";"";"";"";"14";"-5,218293";"42,423";"";
"24/000311";"Hostal Residencia";"2ª - 2 Estrellas";"";"HOSTERIA CUCA LA VAINA";"Calle C/ JARDIN, S/N";"24718";"León";"Astorga";"CASTRILLO DE LOS POLVAZARES";"CASTRILLO DE LOS POLVAZARES";"987691078";"649988254";"";"www.cuca.la.vaina@terra.es";"www.cucalavaina.com";"";"";"14";"-6,12868";"42,464347";"Si";
"24/000313";"Hostal";"1ª - 1 Estrella";"";"LA RUTA";"TRAVESIA DEL CARES, 15";"24915";"León";"Posada de Valdeón";"CAIN DE VALDEON";"CAIN DE VALDEON";"987742702";"";"";"info@hostallaruta.com";"arrakis.es/~laruta";"";"";"12";"-4,903587";"43,213582";"";
"24/000315";"Hostal";"1ª - 1 Estrella";"";"LA CASONA DE PALMIRA";"Calle TRAVESIA DEL CARES 3";"24915";"León";"Posada de Valdeón";"CAIN DE VALDEON";"CAIN DE VALDEON";"987742711";"";"";"";"";"";"";"30";"-4,904155";"43,213503";"";
"24/000316";"Hostal";"1ª - 1 Estrella";"";"HOSTERIA EL REFUGIO";"CALLE REAL S/N";"24722";"León";"Santa Colomba de Somoza";"RABANAL DEL CAMINO";"RABANAL DEL CAMINO";"987631592";"";"";"hostalelregugio@terra.es";"www.hostalelrefugio.es";"";"";"14";"-6,28506";"42,482416";"";
"24/000317";"Hostal";"1ª - 1 Estrella";"";"LA COLLADA DE ARALLA";"Carretera ALTO DE LA COLLADA, CTRA. LA POLA";"24146";"León";"Sena de Luna";"ARALLA DE LUNA";"ARALLA DE LUNA";"987698925";"669148763";"";"LACOLLADADEARALLA@YAHOO.ES";"WWW.HOSTALLACOLLADADEARRALLA.HOL.ES";"";"";"12";"-5,805794";"42,904231";"";
"24/000318";"Hostal";"2ª - 2 Estrellas";"";"PATRICIA";"Plaza PL. ELISEO ORTIZ, 3";"24200";"León";"Valencia de Don Juan";"VALENCIA DE DON JUAN";"VALENCIA DE DON JUAN";"987752259";"";"";"yampe0505@hotmail.es";"www.coyanza.net";"";"";"28";"-5,520392";"42,294459";"";
"24/000319";"Hostal Residencia";"2ª - 2 Estrellas";"";"EL SOL NACIENTE";"AVDA. ANTIBIOTICOS, 106";"24009";"León";"León";"LEON";"LEON";"987209565";"";"";"hostalsolnaciente@gmail.com";"www.hostalsolnaciente.es";"";"";"23";"-5,583746";"42,579295";"";
"24/000320";"Hostal Residencia";"1ª - 1 Estrella";"";"RIAÑO";"SAN IGNACIO DE LOYOLA, 76 ESQ. Pº SALAM.";"24010";"León";"León";"LEON";"LEON";"987272000";"";"";"hostalriano@hotmail.com";"www.hostalriaño.galeon.com";"";"";"45";"-5,5925";"42,608573";"Si";
"24/000321";"Hotel";"3ª - 3 Estrellas";"";"LAS MORERAS";"CTRA. CABOALLES, KM. 6,8";"24121";"León";"Sariegos";"AZADINOS";"AZADINOS";"987280796";"";"";"reservas@hotellasmoreras.com";"";"";"";"72";"-5,613216";"42,645085";"Si";
"24/000324";"Hotel";"3ª - 3 Estrellas";"";"ANCARES";"Carretera CTRA. BALBOA-QUINTELA, KM. 05";"24525";"León";"Balboa";"BALBOA";"BALBOA";"609226545";"983812977";"";"querencia.editorial@hotmail.es";"";"";"";"30";"-6,928258";"42,69669";"Si";
"24/000325";"Hotel";"1ª - 1 estrella";"";"LAS CUMBRES";"Calle CTRA. A SOTO DE VALDEON, KM. 14 14";"24915";"León";"Posada de Valdeón";"POSADA DE VALDEON";"POSADA DE VALDEON";"987742701";"";"";"";"";"";"";"28";"-4,919511";"43,150674";"";
"24/000326";"Hostal Residencia";"1ª - 1 Estrella";"";"OLGA II";"Carretera GENERAL PUERTO DE TARNA 38";"24857";"León";"Puebla de Lillo";"COFIÑAL";"COFIÑAL";"987731120";"";"";"";"";"";"";"14";"-5,268544";"43,029714";"Si";
"24/000327";"Hostal Residencia";"2ª - 2 Estrellas";"";"VILLA FELIZ";"Carretera CTRA. MAGDALENA A BELMONTE, S/N.";"24145";"León";"San Emiliano";"VILLAFELIZ DE BABIA";"VILLAFELIZ DE BABIA";"987594123";"987594126";"";"";"";"";"";"18";"-5,982742";"42,94285";"";
"24/000331";"Hostal Residencia";"1ª - 1 Estrella";"";"MIRVA";"Calle MERINDAD 32";"24994";"León";"Burón";"BURON";"BURON";"987742296";"";"";"";"";"";"";"10";"-5,051868";"43,025136";"";
"24/000333";"Hostal";"1ª - 1 Estrella";"";"ARANDANOS";"Plaza Sierra Pambley, 10";"24100";"León";"Villablino";"VILLABLINO";"VILLABLINO";"987480396";"";"";"";"";"";"";"17";"-6,316922";"42,939925";"";
"24/000336";"Hostal";"2ª - 2 Estrellas";"";"BOCCALINO";"PL. SAN ISIDORO, 9";"24003";"León";"León";"LEON";"LEON";"987223060";"987220017";"";"";"";"";"";"10";"";"";"";
"24/000337";"Hotel";"3ª - 3 Estrellas";"";"ASTURPLAZA";"Plaza ESPAÑA, 2-3";"24700";"León";"Astorga";"ASTORGA";"ASTORGA";"987617665";"";"";"INFO@HOTELASTURPLAZA.ES";"www.hotelasturplaza.es";"";"";"74";"";"";"Si";
"24/000466";"Hotel";"4ª - 4 Estrellas";"";"PARADOR VILLAFRANCA DEL BIERZO";"Avenida AVDA. CALVO SOTELO, 28";"24500";"León";"Villafranca del Bierzo";"VILLAFRANCA DEL BIERZO";"VILLAFRANCA DEL BIERZO";"987540175";"";"";"villafranca@parador.es";"www.parador.es";"Si";"";"97";"-6,813023";"42,603605";"";
"24/000467";"Hotel";"5ª - 5 Estrellas";"";"PARADOR DE TURISMO DE LEON";"Plaza SAN MARCOS  7";"24001";"León";"León";"LEON";"LEON";"987237300";"";"";"leon@parador.es";"www.parador.es";"Si";"";"123";"-5,582044";"42,601072";"Si";
"34/000004";"Hostal Residencia";"1ª - 1 Estrella";"";"EL RESBALON";"Plaza PLAZA MODESTO LAFUENTE, 2";"34840";"Palencia";"Cervera de Pisuerga";"CERVERA DE PISUERGA";"CERVERA DE PISUERGA";"979870612";"";"";"Secundino@tiservinet.es";"www.hostalelresbalon.es";"";"";"24";"-4,498796";"42,862024";"";
"34/000007";"Pensión";"Categoría única";"";"LA VIUDA";"VENTA CAMPA, S/N.";"34847";"Palencia";"Pernía (La)";"SAN SALVADOR DE CANTAMUDA";"SAN SALVADOR DE CANTAMUDA";"979879013";"";"";"";"";"";"";"15";"-4,493628";"42,969281";"";
"34/000010";"Hostal";"1ª - 1 Estrella";"";"SIGLO XX";"PZA. ESPAÑA, 9";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"AGUILAR DE CAMPOO";"979126040";"979122900";"979122900";"sigloxx hostal@telefonica.net";"";"";"";"12";"";"";"";
"34/000016";"Pensión";"Categoría única";"";"LA CUEVA";"Calle CONDE DE VALLELLANO 6";"34480";"Palencia";"Alar del Rey";"ALAR DEL REY";"ALAR DEL REY";"979133066";"";"";"casand@grupoenet.com";"";"";"";"12";"";"";"";
"34/000021";"Hostal";"2ª - 2 Estrellas";"";"HOSTAL SUCO";"Carretera CTRA. BURGOS-PORTUGAL, KM. 42";"34260";"Palencia";"Villodrigo";"VILLODRIGO";"VILLODRIGO";"947166016";"";"";"fernando@hotelessuco.com";"";"";"";"26";"-4,321159";"42,030794";"Si";
"34/000024";"Hotel";"3ª - 3 Estrellas";"";"VALENTIN";"Avenida AVDA. DE RONDA, 23";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"AGUILAR DE CAMPOO";"979122125";"";"";"hotelvalentin@hotelvalentin.com";"www.hotelvalentin.com";"";"";"98";"-4,264877";"42,794426";"";
"34/000025";"Hostal Residencia";"2ª - 2 Estrellas";"";"LA PIEDAD";"Avenida  EUSEBIO SALVADOR 88";"34400";"Palencia";"Herrera de Pisuerga";"HERRERA DE PISUERGA";"HERRERA DE PISUERGA";"979130192";"";"";"";"";"";"";"40";"";"";"";
"34/000026";"Hostal";"1ª - 1 Estrella";"";"CARAZO";"Avenida ALBERTO ACITORES 50";"34230";"Palencia";"Torquemada";"TORQUEMADA";"TORQUEMADA";"642674426";"";"";"emilrachevivanov77@gmail.com";"";"";"";"15";"-4,321159";"42,030794";"Si";
"34/000027";"Pensión";"Categoría única";"";"RIGON";"Calle EUSEBIO SALVADOR, 3";"34400";"Palencia";"Herrera de Pisuerga";"HERRERA DE PISUERGA";"HERRERA DE PISUERGA";"979130168";"";"";"";"";"";"";"17";"";"";"";
"34/000030";"Hotel Residencia";"2ª - 2 Estrellas";"";"MONCLUS";"Calle MENENDEZ PELAYO, 3";"34001";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979744300";"";"";"hotelmonclus@hotmail.com";"www.hotelmonclus.com";"";"";"72";"";"";"";
"34/000034";"Hotel";"2ª - 2 Estrellas";"";"TIERRA DE CAMPOS";"Calle DE LA FUENTE, 1";"34460";"Palencia";"Osorno la Mayor";"OSORNO";"OSORNO";"979817216";"";"";"contacto@hoteltierradecampos.com";"www.hoteltierradecampos.com";"";"";"41";"-4,362437";"42,410724";"";
"34/000036";"Hotel";"4ª - 4 Estrellas";"";"HOTEL REY SANCHO";"Avenida PONCE DE LEON 1";"34005";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979725300";"";"";"raulpastor@reysancho.com";"www.reysancho.com";"";"";"176";"";"";"Si";
"34/000037";"Hostal";"1ª - 1 Estrella";"";"MAPRU";"Carretera CTRA. PALENCIA-LEON, 42";"34341";"Palencia";"Villarramiel";"VILLARRAMIEL";"VILLARRAMIEL";"979837174";"979837398";"";"";"";"";"";"13";"-4,899706";"42,045712";"";
"34/000038";"Hotel";"4ª - 4 Estrellas";"";"ESTRELLA DEL BAJO CARRION";"CTRA. PALENCIA-RIAÑO, KM. 29,6";"34129";"Palencia";"Villoldo";"VILLOLDO";"VILLOLDO";"979827005";"979827269";"";"";"www.estrellabajocarrion.com";"";"";"25";"-4,597144";"42,24681";"";
"34/000039";"Pensión";"Categoría única";"";"EL PANTANO";"Carretera CTRA. PALENCIA-RIAÑO, KM. 29";"34131";"Palencia";"Villoldo";"VILLOLDO";"VILLOLDO";"979827062";"";"";"";"";"";"";"17";"";"";"";
"34/000040";"Hotel";"2ª - 2 Estrellas";"";"VILLA DE AGUILAR";"Calle COMERCIO, 15";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"AGUILAR DE CAMPOO";"979122225";"979122226";"";"";"www.hotelvilladeaguilar.es";"";"";"46";"-4,264293";"42,793747";"";
"34/000043";"Hostal";"1ª - 1 Estrella";"";"CERES";"Plaza PZA. ESPAÑA,12";"34220";"Palencia";"Magaz de Pisuerga";"MAGAZ DE PISUERGA";"MAGAZ DE PISUERGA";"979784032";"";"";"";"";"";"";"30";"";"";"";
"34/000044";"Hostal";"2ª - 2 Estrellas";"";"HOSTAL DEL CERRATO";"Calle REAL 4";"34240";"Palencia";"Baltanás";"BALTANAS";"BALTANAS";"688693176";"661801515";"";"";"";"";"";"15";"-4,25096";"41,93747";"";
"34/000045";"Pensión";"Categoría única";"";"VALDAVIA";"Calle ALFEREZ PROVISIONAL, 15.1ºId.";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"AGUILAR DE CAMPOO";"979122900";"979126040";"";"";"";"";"";"7";"-4,263536";"42,793849";"";
"34/000048";"Hostal";"1ª - 1 Estrella";"";"SAN CRISTOBAL";"Carretera CTRA. BURGOS-PORTUGAL, KM. 55,5";"34250";"Palencia";"Quintana del Puente";"QUINTANA DEL PUENTE";"QUINTANA DEL PUENTE";"979792123";"979792004";"";"hostalsancristobal@gmail.com";"";"";"";"50";"-4,21012";"42,084994";"";
"34/000051";"Hostal";"2ª - 2 Estrellas";"";"LA VASCA";"Carretera CTRA. BURGOS-PORTUGAL, KM. 53";"34250";"Palencia";"Quintana del Puente";"QUINTANA DEL PUENTE";"QUINTANA DEL PUENTE";"979792008";"";"";"hostallavasca@terra.es";"";"";"";"33";"-4,209372";"42,084768";"";
"34/000054";"Pensión";"Categoría única";"";"LOS ANGELES";"LA PUEBLA, 16";"34002";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979726644";"";"";"";"";"";"";"16";"";"";"";
"34/000056";"Hotel";"4ª - 4 Estrellas";"";"HOTEL CASTILLA VIEJA SLU";"Avenida CASADO DEL ALISAL 26";"34001";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979749044";"";"";"reservas@hotelcastillavieja.co";"www.hotelcastillavieja.com";"";"";"133";"-4,5294444";"42,0105556";"";
"34/000060";"Pensión";"Categoría única";"";"SOFIA";"SANTA MARIA, 7";"34300";"Palencia";"Paredes de Nava";"PAREDES DE NAVA";"PAREDES DE NAVA";"979830774";"";"";"";"";"";"";"22";"";"";"";
"34/000061";"Pensión";"Categoría única";"";"EL RESBALON";"Calle FERNAN GOMEZ, 19-2º";"34120";"Palencia";"Carrión de los Condes";"CARRION DE LOS CONDES";"CARRION DE LOS CONDES";"979880433";"";"";"";"";"";"";"14";"-4,602552";"42,337886";"";
"34/000064";"Pensión";"Categoría única";"";"CAMPORREDONDO";"Calle EL PUENTE, S/N 9";"34888";"Palencia";"Velilla del Río Carrión";"CAMPORREDONDO DE ALBA";"CAMPORREDONDO DE ALBA";"979866016";"";"";"";"";"";"";"10";"-4,744793";"42,895663";"";
"34/000067";"Hotel Residencia";"1ª - 1 Estrella";"";"ALDA CENTRO PALENCIA";"Calle EDUARDO DATO, 2";"34005";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979050516";"979742750";"";"aldacentropalencia@aldahostels.es";"www.aldacentropalencia.es";"";"";"54";"-4,534684";"42,013426";"";
"34/000072";"Motel Residencia";"1ª - 1 Estrella";"";"LAS PIRAMIDES";"Carretera CTRA. BURGOS-PORTUGAL, KM. 97,5";"34210";"Palencia";"Dueñas";"DUEÑAS";"DUEÑAS";"979780011";"979780177";"";"Motel_Piramides@hotmail.com";"";"";"";"40";"-4,559142";"41,847371";"Si";
"34/000074";"Hostal";"2ª - 2 Estrellas";"";"LA CARCEL";"Plaza PZA. MAYOR, 6";"34340";"Palencia";"Villada";"VILLADA";"VILLADA";"979844016";"";"";"";"";"";"";"30";"-4,967509";"42,250751";"";
"34/000077";"Hotel";"4ª - 4 Estrellas";"";"HOTEL EUROPA CENTRO";"Urbanización URBANIZACION CASTILLO MAGAZ, S/N";"34220";"Palencia";"Magaz de Pisuerga";"MAGAZ DE PISUERGA";"MAGAZ DE PISUERGA";"979784000";"";"";"hoteleuropa@hotelessuco.com";"";"";"";"234";"-4,438347";"41,983824";"Si";
"34/000080";"Hotel";"2ª - 2 Estrellas";"";"LAS LAGUNAS";"Carretera CTRA.  A- 62  KM. 61";"34230";"Palencia";"Torquemada";"TORQUEMADA";"TORQUEMADA";"979800406";"";"";"";"";"";"";"64";"-4,253293";"42,050654";"";
"34/000083";"Pensión";"Categoría única";"";"VALENCIA";"ONTIVEROS, 17";"34191";"Palencia";"Ampudia";"AMPUDIA";"AMPUDIA";"979768087";"";"";"";"";"";"";"8";"";"";"";
"34/000084";"Hostal";"1ª - 1 Estrella";"";"LA CORTE";"Calle SANTA MARIA, 34";"34120";"Palencia";"Carrión de los Condes";"CARRION DE LOS CONDES";"CARRION DE LOS CONDES";"979880138";"616766535";"";"";"www.hostallacorte.com";"";"";"38";"-4,601761";"42,337231";"";
"34/000093";"Hostal";"1ª - 1 Estrella";"";"CAMINO DE SANTIAGO";"Calle C/ LAS FRANCESAS, Nº 26";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979810053";"979810282";"";"";"caminomila@terra.es";"";"";"20";"-4,404693";"42,269214";"";
"34/000094";"Hostal";"2ª - 2 Estrellas";"";"EL NAVIO";"Carretera CTRA. SANTANDER, KM. 57";"34460";"Palencia";"Osorno la Mayor";"OSORNO";"OSORNO";"979150228";"";"";"";"";"";"";"43";"-4,363807";"42,407149";"";
"34/000096";"Hostal";"1ª - 1 Estrella";"";"LA LLAVE";"Calle C/ ERAS, S/N";"34402";"Palencia";"Aguilar de Campoo";"MAVE";"MAVE";"979122323";"979122533";"";"";"";"";"";"7";"-4,274257";"42,735093";"";
"34/000098";"Hostal Residencia";"2ª - 2 Estrellas";"";"CORTES POZA";"EL PUENTE, 39";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"AGUILAR DE CAMPOO";"979123055";"";"";"";"";"";"";"24";"";"";"";
"34/000101";"Hostal Residencia";"2ª - 2 Estrellas";"";"SERPOL";"Calle VIZCAYA, 1";"34004";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979713088";"";"";"serpolpalencia@gmail.es";"www.hserpol.com";"";"";"64";"-4,51594";"42,003002";"";
"34/000103";"Hostal Residencia";"1ª - 1 Estrella";"";"TRES DE NOVIEMBRE";"Calle MANCORNADOR, 18";"34001";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979703042";"";"";"";"www.hostal-tres-de-Noviembre";"";"";"16";"";"";"";
"34/000104";"Pensión";"Categoría única";"";"LA VENTA";"Calle PEDRO BERRUGUETE 2";"34300";"Palencia";"Paredes de Nava";"PAREDES DE NAVA";"PAREDES DE NAVA";"979830495";"";"";"";"";"";"";"12";"-4,688533";"42,155316";"Si";
"34/000105";"Hostal";"2ª - 2 Estrellas";"";"LA MONTAÑA";"Carretera CTRA. VIDRIEROS 1";"34887";"Palencia";"Triollo";"TRIOLLO";"TRIOLLO";"979866171";"";"";"";"";"";"";"18";"-4,680034";"42,923721";"Si";
"34/000108";"Hostal";"1ª - 1 Estrella";"";"CHOLO";"Calle CONDE MUNIO NUÑEZ, S/N";"34829";"Palencia";"Brañosera";"BRAÑOSERA";"BRAÑOSERA";"979607273";"979607098";"";"";"";"";"";"9";"-4,309138";"42,936139";"";
"34/000109";"Hotel";"2ª - 2 Estrellas";"";"LA BASILICA";"Avenida  DE BURGOS 19";"34200";"Palencia";"Venta de Baños";"VENTA DE BAÑOS";"VENTA DE BAÑOS";"979770144";"649401405";"";"frenedo@renema.es";" www.okhoteles.es";"";"";"63";"-4,490119";"41,927234";"";
"34/000111";"Hostal";"2ª - 2 Estrellas";"";"HOSTERIA MESON LA BRASA";"Calle LUIS VIVES 11";"34100";"Palencia";"Saldaña";"SALDAÑA";"SALDAÑA";"979890126";"";"";"";"";"";"";"27";"-4,734514";"42,528217";"Si";
"34/000112";"Hostal";"1ª - 1 Estrella";"";"LOS CHOPOS";"Carretera CN611,(PALENCIA-SANTANDER)KM.59 DER";"34460";"Palencia";"Osorno la Mayor";"OSORNO";"OSORNO";"979817320";"979817320";"";"";"";"";"";"40";"-4,351526";"42,417095";"";
"34/000114";"Hotel";"4ª - 4 Estrellas";"4#Con historia#|";"REAL MONASTERIO SAN ZOILO";"Calle C/OBISPO SOUTO, S/N";"34120";"Palencia";"Carrión de los Condes";"CARRION DE LOS CONDES";"CARRION DE LOS CONDES";"979880050";"979880049";"680970369";"hotel@sanzoilo.com";"www.sanzoilo.com";"";"";"104";"-4,610771";"42,339875";"";
"34/000115";"Hotel Residencia";"1ª - 1 Estrella";"";"SAN MARTIN";"Plaza PZA.SAN MARTIN, 7";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979810000";"";"";"";"";"";"";"23";"-4,406652";"42,26693";"";
"34/000116";"Hostal";"1ª - 1 Estrella";"";"LOS OLMOS";"Polígono POLIGONO INDUSTRIAL PARCELA ""A""";"34800";"Palencia";"Aguilar de Campoo";"AGUILAR DE CAMPOO";"AGUILAR DE CAMPOO";"979123743";"979125505";"";"";"";"";"";"55";"-4,251983";"42,784225";"";
"34/000117";"Hostal";"1ª - 1 Estrella";"";"SALSE";"Avenida AVDA. DE LA CONSTITUCIÓN, Nº 21.";"34100";"Palencia";"Saldaña";"SALDAÑA";"SALDAÑA";"979891412";"";"";"";"";"";"";"13";"-4,743386";"42,519029";"";
"34/000118";"Hostal Residencia";"1ª - 1 Estrella";"";"LAS  CANTIGAS";"Calle DOCTOR DURANGO 2";"34449";"Palencia";"Villalcázar de Sirga";"VILLALCAZAR DE SIRGA";"VILLALCAZAR DE SIRGA";"639359521";"979888027";"";"GAONALUCY8@GMAIL.COM";"";"";"";"9";"-4,5424111";"42,3162944";"Si";
"34/000120";"Hostal Residencia";"2ª - 2 Estrellas";"";"ALGODON";"Calle DON PELAYO, 4 - BJ";"34003";"Palencia";"Palencia";"PALENCIA";"PALENCIA";"979170019";"638841457";"";"danielrenilla@gmail.com";"";"";"";"24";"-4,531482";"42,017898";"";
